City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,2022-01-28 19:53:02,-45.4167,167.7167,54.86,84,66,4.63
1,Coquimbo,CL,2022-01-28 19:53:03,-29.9533,-71.3436,69.53,64,20,13.8
2,Hermanus,ZA,2022-01-28 19:52:04,-34.4187,19.2345,67.89,75,0,11.59
3,Korem,ET,2022-01-28 19:53:03,12.5058,39.5228,50.85,79,5,2.86
4,Vila,PT,2022-01-28 19:53:03,42.0304,-8.1588,47.28,43,0,4.88
5,Atuona,PF,2022-01-28 19:49:06,-9.8,-139.0333,77.45,75,22,16.64
6,Point Pedro,LK,2022-01-28 19:53:04,9.8167,80.2333,79.09,77,34,16.8
7,Sept-Iles,CA,2022-01-28 19:53:04,50.2001,-66.3821,10.06,57,20,5.99
8,Jardim,BR,2022-01-28 19:53:05,-21.4803,-56.1381,78.78,88,69,7.49
9,Kaitangata,NZ,2022-01-28 19:53:05,-46.2817,169.8464,56.26,69,98,3.13
10,Dalvik,IS,2022-01-28 19:53:05,65.9702,-18.5286,26.53,88,99,15.28
11,Busselton,AU,2022-01-28 19:50:13,-33.65,115.3333,65.05,63,0,13.02
12,Laguna,US,2022-01-28 19:53:06,38.421,-121.4238,66.22,55,75,1.01
13,Ushuaia,AR,2022-01-28 19:49:09,-54.8,-68.3,60.42,63,40,3.44
14,Georgetown,MY,2022-01-28 19:51:03,5.4112,100.3354,82.89,90,20,1.01
15,Cayenne,GF,2022-01-28 19:53:06,4.9333,-52.3333,78.84,82,75,5.01
16,Sibu,MY,2022-01-28 19:53:06,2.3,111.8167,75.51,100,40,0.0
17,New Norfolk,AU,2022-01-28 19:53:07,-42.7826,147.0587,62.1,70,95,1.01
18,Bilibino,RU,2022-01-28 19:53:07,68.0546,166.4372,-7.04,96,100,4.18
19,Kuopio,FI,2022-01-28 19:53:07,62.8924,27.677,22.95,86,100,5.75
20,Vila Franca Do Campo,PT,2022-01-28 19:53:08,37.7167,-25.4333,58.19,80,20,9.48
21,Albany,US,2022-01-28 19:50:57,42.6001,-73.9662,31.62,79,100,4.74
22,Barrow,US,2022-01-28 19:53:08,71.2906,-156.7887,-19.19,97,91,14.81
23,Bluff,NZ,2022-01-28 19:53:08,-46.6,168.3333,53.8,74,86,5.06
24,Provideniya,RU,2022-01-28 19:53:09,64.3833,-173.3,-2.78,99,14,2.51
25,East London,ZA,2022-01-28 19:53:09,-33.0153,27.9116,70.05,79,44,10.78
26,Dikson,RU,2022-01-28 19:53:09,73.5069,80.5464,4.48,93,100,18.86
27,Awjilah,LY,2022-01-28 19:53:10,29.1081,21.2869,53.87,57,5,8.08
28,Saint-Philippe,RE,2022-01-28 19:53:10,-21.3585,55.7679,76.55,76,21,6.67
29,Los Llanos De Aridane,ES,2022-01-28 19:53:10,28.6585,-17.9182,55.15,81,20,5.99
30,Faanui,PF,2022-01-28 19:50:31,-16.4833,-151.75,80.92,75,6,16.13
31,Leningradskiy,RU,2022-01-28 19:53:11,69.3833,178.4167,-11.11,96,91,1.99
32,Alyangula,AU,2022-01-28 19:53:11,-13.8483,136.4192,82.27,83,100,8.05
33,Hilo,US,2022-01-28 19:53:11,19.7297,-155.09,79.61,69,23,5.01
34,Punta Arenas,CL,2022-01-28 19:49:23,-53.15,-70.9167,68.02,52,0,6.91
35,Hithadhoo,MV,2022-01-28 19:53:12,-0.6,73.0833,80.69,61,27,5.61
36,Empalme,MX,2022-01-28 19:53:12,27.9667,-110.8167,79.36,23,12,9.48
37,Kodiak,US,2022-01-28 19:48:18,57.79,-152.4072,27.91,74,100,17.27
38,Hobart,AU,2022-01-28 19:53:12,-42.8794,147.3294,62.46,82,75,5.75
39,Ostrovnoy,RU,2022-01-28 19:53:13,68.0531,39.5131,8.92,95,86,8.75
40,Gushikawa,JP,2022-01-28 19:51:34,26.3544,127.8686,64.4,94,75,6.91
41,Tiksi,RU,2022-01-28 19:53:13,71.6872,128.8694,-3.87,99,100,7.25
42,Dingle,PH,2022-01-28 19:53:14,10.9995,122.6711,74.82,89,44,4.54
43,Boshnyakovo,RU,2022-01-28 19:53:14,49.6333,142.1667,1.49,88,100,5.46
44,Luderitz,NA,2022-01-28 19:53:14,-26.6481,15.1594,70.02,69,0,28.48
45,Kavieng,PG,2022-01-28 19:53:15,-2.5744,150.7967,81.43,77,100,6.04
46,Rikitea,PF,2022-01-28 19:54:15,-23.1203,-134.9692,77.86,72,100,16.51
47,Castro,BR,2022-01-28 19:54:15,-24.7911,-50.0119,63.14,99,100,6.82
48,Moi,NO,2022-01-28 19:54:15,58.4567,6.5518,42.39,97,100,10.49
49,Tura,IN,2022-01-28 19:54:16,25.5198,90.2201,49.98,55,0,2.93
50,Vaini,TO,2022-01-28 19:54:16,-21.2,-175.2,82.27,79,100,19.13
51,Yeppoon,AU,2022-01-28 19:54:16,-23.1333,150.7333,71.38,80,80,12.95
52,Goderich,CA,2022-01-28 19:54:17,43.7501,-81.7165,14.92,66,57,8.05
53,Srednekolymsk,RU,2022-01-28 19:53:21,67.45,153.6833,-13.85,95,100,3.74
54,Biak,ID,2022-01-28 19:54:17,-0.9131,122.8766,76.66,83,100,4.94
55,Sioux Lookout,CA,2022-01-28 19:52:42,50.1001,-91.917,3.58,66,20,5.75
56,Bethel,US,2022-01-28 19:54:18,41.3712,-73.414,33.49,79,100,1.92
57,Sao Filipe,CV,2022-01-28 19:52:08,14.8961,-24.4956,71.71,69,100,10.45
58,Marsa Matruh,EG,2022-01-28 19:54:18,31.3525,27.2453,52.0,71,40,11.5
59,Imbituba,BR,2022-01-28 19:54:18,-28.24,-48.6703,70.83,80,100,5.53
60,Mana,GF,2022-01-28 19:54:19,5.6592,-53.7767,80.15,70,59,9.46
61,Raga,SS,2022-01-28 19:54:19,8.4596,25.678,68.81,20,55,4.25
62,Saldanha,ZA,2022-01-28 19:54:19,-33.0117,17.9442,66.25,79,0,25.57
63,Cidreira,BR,2022-01-28 19:54:20,-30.1811,-50.2056,73.38,60,64,12.44
64,Saint-Francois,FR,2022-01-28 19:54:20,46.4154,3.9054,33.67,100,100,3.44
65,Esperance,AU,2022-01-28 19:49:35,-33.8667,121.9,60.64,82,0,12.35
66,Krasnoselkup,RU,2022-01-28 19:54:20,65.7,82.4667,2.44,96,97,12.15
67,Korla,CN,2022-01-28 19:54:21,41.7597,86.1469,22.39,60,0,3.94
68,Constitucion,CL,2022-01-28 19:50:19,-35.3333,-72.4167,66.76,70,0,11.14
69,Mataura,NZ,2022-01-28 19:54:21,-46.1927,168.8643,53.47,68,93,1.81
70,Fort-Shevchenko,KZ,2022-01-28 19:54:21,44.5086,50.263,32.25,69,71,15.17
71,Port Elizabeth,ZA,2022-01-28 19:54:22,-33.918,25.5701,67.1,77,0,10.36
72,Bud,US,2022-01-28 19:54:22,39.447,-86.1758,24.21,74,100,14.63
73,Beringovskiy,RU,2022-01-28 19:54:22,63.05,179.3167,-5.98,94,100,3.15
74,Bredasdorp,ZA,2022-01-28 19:50:15,-34.5322,20.0403,63.72,72,35,5.75
75,Chumikan,RU,2022-01-28 19:54:23,54.7183,135.315,-14.64,90,13,13.24
76,Port-Cartier,CA,2022-01-28 19:54:23,50.0334,-66.8654,9.75,72,3,10.11
77,Port Macquarie,AU,2022-01-28 19:49:30,-31.4333,152.9167,66.16,90,12,4.32
78,Longyearbyen,SJ,2022-01-28 19:54:23,78.2186,15.6401,10.24,67,20,13.8
79,Inhambane,MZ,2022-01-28 19:54:24,-23.865,35.3833,77.2,78,4,9.64
80,Tuktoyaktuk,CA,2022-01-28 19:54:25,69.4541,-133.0374,-18.4,76,0,16.11
81,Chokurdakh,RU,2022-01-28 19:51:01,70.6333,147.9167,-31.09,96,96,3.78
82,Thompson,CA,2022-01-28 19:51:21,55.7435,-97.8558,-7.44,71,75,2.3
83,Smithers,CA,2022-01-28 19:54:25,54.7804,-127.1743,19.72,79,75,5.75
84,Abbeville,FR,2022-01-28 19:54:25,50.1,1.8333,44.94,93,100,9.37
85,Berlevag,NO,2022-01-28 19:54:26,70.8578,29.0864,31.95,55,75,13.8
86,Staraya Kulatka,RU,2022-01-28 19:54:26,52.7167,47.6167,8.82,99,98,0.69
87,Ahipara,NZ,2022-01-28 19:54:26,-35.1667,173.1667,66.85,65,99,10.0
88,Iqaluit,CA,2022-01-28 19:54:26,63.7506,-68.5145,-11.31,76,100,13.0
89,Corner Brook,CA,2022-01-28 19:54:27,48.9667,-57.9484,28.53,83,99,12.59
90,Salekhard,RU,2022-01-28 19:54:27,66.53,66.6019,-16.4,100,95,4.12
91,Hammerfest,NO,2022-01-28 19:55:27,70.6634,23.6821,25.25,86,75,4.61
92,Baghdad,IQ,2022-01-28 19:55:28,33.3406,44.4009,44.51,57,0,1.14
93,San Quintin,MX,2022-01-28 19:55:13,30.4833,-115.95,67.48,31,99,5.64
94,Rupert,US,2022-01-28 19:55:28,42.6191,-113.6772,17.65,81,3,7.09
95,Kutum,SD,2022-01-28 19:55:28,14.2,24.6667,55.56,16,3,10.22
96,Nikolskoye,RU,2022-01-28 19:55:29,59.7035,30.7861,29.88,96,100,5.86
97,Geraldton,AU,2022-01-28 19:55:29,-28.7667,114.6,72.01,83,0,6.91
98,Talnakh,RU,2022-01-28 19:55:29,69.4865,88.3972,2.21,92,100,12.71
99,Katsuura,JP,2022-01-28 19:53:27,35.1333,140.3,42.91,70,100,9.62
100,Mogadishu,SO,2022-01-28 19:55:30,2.0371,45.3438,77.2,79,64,21.18
101,Minot,US,2022-01-28 19:55:30,48.2325,-101.2963,26.78,91,65,2.46
102,Skjervoy,NO,2022-01-28 19:55:30,70.0311,20.9714,21.2,76,100,17.29
103,Sisimiut,GL,2022-01-28 19:55:31,66.9395,-53.6735,19.13,62,100,19.73
104,Alexandria,EG,2022-01-28 19:55:31,31.2156,29.9553,53.56,87,40,12.66
105,Cape Town,ZA,2022-01-28 19:53:30,-33.9258,18.4232,68.11,70,20,20.71
106,Coihaique,CL,2022-01-28 19:55:31,-45.5752,-72.0662,84.15,16,0,6.91
107,Saint-Georges,GD,2022-01-28 19:55:31,12.0564,-61.7485,82.08,69,20,17.27
108,Riverton,US,2022-01-28 19:55:32,40.5219,-111.9391,42.3,45,0,1.99
109,Avarua,CK,2022-01-28 19:55:32,-21.2078,-159.775,80.65,83,40,10.36
110,Kang,BW,2022-01-28 19:55:32,-23.6752,22.7876,73.81,67,56,6.76
111,Jamestown,US,2022-01-28 19:55:33,42.097,-79.2353,24.12,56,100,5.01
112,Inverness,GB,2022-01-28 19:52:47,57.4791,-4.224,55.8,81,40,8.99
113,Carnarvon,AU,2022-01-28 19:55:33,-24.8667,113.6333,69.87,94,0,6.91
114,Cabo San Lucas,MX,2022-01-28 19:54:22,22.8909,-109.9124,78.62,58,6,8.01
115,Bilma,NE,2022-01-28 19:55:33,18.6853,12.9164,61.99,17,0,10.0
116,Acopiara,BR,2022-01-28 19:55:34,-6.0953,-39.4525,77.13,75,100,0.56
117,North Palm Beach,US,2022-01-28 19:55:34,26.8176,-80.082,74.03,76,75,3.0
118,Lorengau,PG,2022-01-28 19:55:34,-2.0226,147.2712,81.0,81,100,7.65
119,Eureka,US,2022-01-28 19:55:35,40.8021,-124.1637,62.2,62,99,2.01
120,Saskylakh,RU,2022-01-28 19:55:35,71.9167,114.0833,2.8,87,100,6.26
121,Homer,US,2022-01-28 19:55:24,59.6425,-151.5483,23.04,91,100,9.55
122,Bria,CF,2022-01-28 19:55:35,6.5423,21.9863,75.9,22,82,5.32
123,Belomorsk,RU,2022-01-28 19:55:36,64.5232,34.7668,7.63,99,95,4.14
124,Yellowknife,CA,2022-01-28 19:55:36,62.456,-114.3525,0.41,90,100,11.5
125,Bambanglipuro,ID,2022-01-28 19:55:36,-7.95,110.2833,75.25,88,98,3.44
126,Ornskoldsvik,SE,2022-01-28 19:53:29,63.2909,18.7153,25.75,80,100,10.36
127,Kinwat,IN,2022-01-28 19:55:37,19.6333,78.2,60.24,34,6,2.48
128,Pochutla,MX,2022-01-28 19:53:57,15.7432,-96.4661,87.82,49,24,9.86
129,Arraial Do Cabo,BR,2022-01-28 19:55:37,-22.9661,-42.0278,82.36,78,40,9.22
130,Araouane,ML,2022-01-28 19:55:37,18.9048,-3.5265,72.54,14,72,10.51
131,Arlit,NE,2022-01-28 19:55:38,18.7369,7.3853,65.05,14,0,12.41
132,Qaanaaq,GL,2022-01-28 19:55:38,77.484,-69.3632,-12.44,62,0,7.94
133,Taoudenni,ML,2022-01-28 19:55:38,22.6783,-3.9836,74.7,13,92,11.36
134,Kipushi,CD,2022-01-28 19:55:39,-11.7667,27.2333,63.19,96,100,4.43
135,Aksu,CN,2022-01-28 19:55:39,41.1231,80.2644,21.96,52,4,1.86
136,Paka,MY,2022-01-28 19:55:39,4.6374,103.4368,71.53,94,74,2.3
137,Cairns,AU,2022-01-28 19:55:40,-16.9167,145.7667,75.15,94,100,4.61
138,Troina,IT,2022-01-28 19:55:40,37.7854,14.5985,42.78,88,100,5.77
139,Bambous Virieux,MU,2022-01-28 19:53:29,-20.3428,57.7575,79.05,89,75,2.3
140,Tulsipur,NP,2022-01-28 19:56:40,28.131,82.2973,46.4,79,0,3.98
141,Shihezi,CN,2022-01-28 19:56:41,44.3,86.0333,-1.1,96,97,4.21
142,Honningsvag,NO,2022-01-28 19:56:41,70.9821,25.9704,30.52,50,100,8.23
143,Vadinsk,RU,2022-01-28 19:56:41,53.6916,43.0574,12.56,91,85,12.41
144,Sur,OM,2022-01-28 19:56:42,22.5667,59.5289,69.46,58,0,3.15
145,Ndele,CF,2022-01-28 19:56:42,8.4109,20.6473,74.43,21,3,5.84
146,Port Alfred,ZA,2022-01-28 19:56:42,-33.5906,26.891,69.1,74,26,10.87
147,Fiumicino,IT,2022-01-28 19:56:42,41.7675,12.2291,51.08,85,0,6.91
148,Lebu,CL,2022-01-28 19:56:43,-37.6167,-73.65,65.48,76,3,6.98
149,Alofi,NU,2022-01-28 19:52:42,-19.0595,-169.9187,82.29,83,93,8.05
150,Touros,BR,2022-01-28 19:56:43,-5.1989,-35.4608,79.7,69,67,8.25
151,Yulara,AU,2022-01-28 19:56:43,-25.2406,130.9889,78.64,47,99,12.66
152,Miandrivazo,MG,2022-01-28 19:56:44,-19.5167,45.4667,79.79,75,3,4.12
153,Nantucket,US,2022-01-28 19:56:44,41.2835,-70.0995,37.09,73,100,4.52
154,Sawakin,SD,2022-01-28 19:56:45,19.1059,37.3321,69.66,64,51,9.75
155,Straumen,NO,2022-01-28 19:56:45,63.8709,11.2999,37.94,90,100,6.58
156,Puli,TW,2022-01-28 19:56:45,23.9664,120.9695,62.22,72,100,2.46
157,Vanavara,RU,2022-01-28 19:56:45,60.34,102.2797,-12.08,100,98,3.33
158,Ilulissat,GL,2022-01-28 19:54:32,69.2167,-51.1,14.85,60,100,12.12
159,Ribeira Grande,PT,2022-01-28 19:56:46,38.5167,-28.7,57.6,72,40,9.22
160,Turukhansk,RU,2022-01-28 19:56:46,65.8167,87.9833,-1.39,95,100,13.15
161,Padang,ID,2022-01-28 19:56:46,-0.9492,100.3543,77.05,86,98,3.91
162,Narsaq,GL,2022-01-28 19:53:38,60.9167,-46.05,14.05,72,100,8.66
163,Dunmore Town,BS,2022-01-28 19:56:47,25.5,-76.65,75.47,80,100,16.06
164,Marondera,ZW,2022-01-28 19:56:47,-18.1853,31.5519,60.78,97,100,4.0
165,Upernavik,GL,2022-01-28 19:54:58,72.7868,-56.1549,-0.09,63,100,9.73
166,Brodick,GB,2022-01-28 19:56:48,55.5754,-5.1472,51.64,88,97,19.46
167,Waverly,US,2022-01-28 19:56:48,42.7392,-84.6208,20.17,65,100,6.85
168,Qasigiannguit,GL,2022-01-28 19:56:48,68.8193,-51.1922,15.33,62,100,11.39
169,Zyuzelskiy,RU,2022-01-28 19:56:48,56.4856,60.1331,-11.36,97,100,1.7
170,Cherskiy,RU,2022-01-28 19:56:49,68.75,161.3,-14.51,92,100,1.79
171,Guerrero Negro,MX,2022-01-28 19:52:05,27.9769,-114.0611,70.75,26,55,2.98
172,Lircay,PE,2022-01-28 19:56:49,-12.9896,-74.7205,61.34,66,99,2.28
173,Puerto Ayora,EC,2022-01-28 19:56:49,-0.7393,-90.3518,82.36,76,80,9.51
174,Gigmoto,PH,2022-01-28 19:56:50,13.7796,124.39,78.01,89,97,5.88
175,Kahului,US,2022-01-28 19:53:52,20.8947,-156.47,76.26,69,40,0.0
176,Goianesia,BR,2022-01-28 19:56:50,-15.3175,-49.1175,76.3,81,99,5.03
177,Nanakuli,US,2022-01-28 19:56:50,21.3906,-158.1547,79.03,65,1,4.83
178,Shakawe,BW,2022-01-28 19:56:51,-18.3667,21.85,68.83,97,100,6.93
179,Pilar,BR,2022-01-28 19:56:51,-9.5972,-35.9567,84.13,64,100,12.48
180,Birjand,IR,2022-01-28 19:56:51,32.8663,59.2211,37.87,28,0,6.91
181,Nkongsamba,CM,2022-01-28 19:56:52,4.9547,9.9404,71.56,39,63,3.02
182,Carroll,US,2022-01-28 19:56:52,39.5501,-77.0164,35.87,80,100,1.99
183,Baruun-Urt,MN,2022-01-28 19:56:52,46.6806,113.2792,-8.84,90,3,2.98
184,Chuy,UY,2022-01-28 19:57:53,-33.6971,-53.4616,71.85,56,67,9.73
185,Phuntsholing,BT,2022-01-28 19:57:53,26.8516,89.3884,52.27,65,2,5.91
186,Clyde River,CA,2022-01-28 19:57:53,70.4692,-68.5914,-10.97,84,100,40.29
187,Shimoda,JP,2022-01-28 19:57:54,34.6667,138.95,35.71,60,84,3.38
188,Kanye,BW,2022-01-28 19:57:54,-24.9667,25.3327,70.02,69,97,6.24
189,Pocatello,US,2022-01-28 19:57:54,42.8713,-112.4455,14.72,60,0,2.42
190,Rawson,AR,2022-01-28 19:57:55,-43.3002,-65.1023,75.51,59,9,14.23
